LOCATION,Country,INDICATOR,Indicator,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME_PERIOD,Time,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DNK,Denmark,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2010,,53.44129,,A,,,,,,,
BEL,Belgium,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2010,,108.6702,,A,,,,,,,
NZL,New Zealand,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2010,,33.61,,A,,,,,,,
CHE,Switzerland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2010,,42.95702,,A,,,,,,,
EST,Estonia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2010,,11.91295,,A,,,,,,,
ITA,Italy,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2010,,124.3951,,A,,,,,,,
OAVG,OECD - Average,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2010,,69.2,,A,,,,,,,
DEU,Germany,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2010,,87.62482,,A,,,,,,,
SVN,Slovenia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2010,,48.34464,,A,,,,,,,
LTU,Lithuania,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2010,,45.47084,,A,,,,,,,
ISR,Israel,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2009,,82.87272,,A,,,,,,,
CHL,Chile,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2009,,13.41594,,A,,,,,,,
GBR,United Kingdom,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2009,,80.8656,,A,,,,,,,
ESP,Spain,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2009,,62.65619,,A,,,,,,,
SVK,Slovak Republic,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2009,,44.03915,,A,,,,,,,
POL,Poland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2009,,57.18409,,A,,,,,,,
NLD,Netherlands,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2009,,65.26706,,A,,,,,,,
LVA,Latvia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2009,,42.19472,,A,,,,,,,
ISL,Iceland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2009,,158.3311,,A,,,,,,,
CZE,Czechia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2009,,39.66047,,A,,,,,,,
KOR,Korea,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2009,,41.44781,,A,,,,,,,
LUX,Luxembourg,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2009,,22.27189,,A,,,,,,,
FRA,France,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2009,,97.5731,,A,,,,,,,
AUS,Australia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2009,,38.46537,,A,,,,,,,
CAN,Canada,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2009,,104.4755,,A,,,,,,,
NZL,New Zealand,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2009,,30.24,,A,,,,,,,
CHE,Switzerland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2009,,44.33378,,A,,,,,,,
EST,Estonia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2009,,12.75133,,A,,,,,,,
ITA,Italy,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2009,,125.5741,,A,,,,,,,
IRL,Ireland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2011,,110.7648,,A,,,,,,,
OAVG,OECD - Average,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2011,,71.86,,A,,,,,,,
SVN,Slovenia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2011,,51.87464,,A,,,,,,,
DEU,Germany,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2011,,86.63509,,A,,,,,,,
OECD,OECD - Total,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2011,,98.64,,A,,,,,,,
CHL,Chile,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2011,,17.96611,,A,,,,,,,
GBR,United Kingdom,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2011,,105.0083,,A,,,,,,,
ISR,Israel,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2011,,77.80209,,A,,,,,,,
NLD,Netherlands,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2011,,73.64163,,A,,,,,,,
SVK,Slovak Republic,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2011,,51.09713,,A,,,,,,,
POL,Poland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2011,,62.64021,,A,,,,,,,
ITA,Italy,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2011,,117.2669,,A,,,,,,,
ESP,Spain,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2011,,78.33935,,A,,,,,,,
LVA,Latvia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2011,,51.44749,,A,,,,,,,
GRC,Greece,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2012,,167.098,,A,,,,,,,
HUN,Hungary,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2012,,98.41528,,A,,,,,,,
OECD,OECD - Total,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2012,,104.44,,A,,,,,,,
CHL,Chile,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2012,,18.44991,,A,,,,,,,
GBR,United Kingdom,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2012,,108.9769,,A,,,,,,,
ISR,Israel,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2012,,78.9197,,A,,,,,,,
ESP,Spain,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2012,,97.14937,,A,,,,,,,
SVK,Slovak Republic,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2012,,60.71468,,A,,,,,,,
POL,Poland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2012,,65.98947,,A,,,,,,,
ITA,Italy,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2012,,135.4406,,A,,,,,,,
NLD,Netherlands,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2012,,79.35651,,A,,,,,,,
TUR,Türkiye,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2012,,40.94091,,A,,,,,,,
FIN,Finland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2012,,68.03325,,A,,,,,,,
MEX,Mexico,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2012,,43.9458,,A,,,,,,,
BEL,Belgium,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2012,,120.9803,,A,,,,,,,
AUT,Austria,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2012,,97.33756,,A,,,,,,,
DNK,Denmark,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2012,,60.61518,,A,,,,,,,
NZL,New Zealand,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2012,,45.61,,A,,,,,,,
SVN,Slovenia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2016,,97.61093,,A,,,,,,,
DEU,Germany,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2016,,77.33206,,A,,,,,,,
USA,United States,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2016,,138.8001,,A,,,,,,,
SVK,Slovak Republic,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2016,,67.56189,,A,,,,,,,
PRT,Portugal,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2016,,144.3118,,A,,,,,,,
JPN,Japan,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2016,,231.3682,,A,,,,,,,
NOR,Norway,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2016,,44.00355,,A,,,,,,,
LVA,Latvia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2016,,50.293,,A,,,,,,,
COL,Colombia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2016,,73.09144,,A,,,,,,,
ISL,Iceland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2016,,116.3661,,A,,,,,,,
KOR,Korea,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2016,,51.61334,,A,,,,,,,
CAN,Canada,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2016,,115.3541,,A,,,,,,,
FRA,France,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2016,,123.6707,,A,,,,,,,
LUX,Luxembourg,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2016,,26.83405,,A,,,,,,,
AUS,Australia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2016,,68.79545,,A,,,,,,,
CZE,Czechia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2016,,47.43294,,A,,,,,,,
LTU,Lithuania,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2016,,50.96642,,A,,,,,,,
LVA,Latvia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2014,,51.23635,,A,,,,,,,
ISL,Iceland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2014,,146.5081,,A,,,,,,,
FRA,France,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2014,,120.1551,,A,,,,,,,
LUX,Luxembourg,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2014,,28.87899,,A,,,,,,,
KOR,Korea,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2014,,50.70885,,A,,,,,,,
AUS,Australia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2014,,60.5449,,A,,,,,,,
CZE,Czechia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2014,,54.84251,,A,,,,,,,
CAN,Canada,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2014,,108.5762,,A,,,,,,,
LTU,Lithuania,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2014,,52.63488,,A,,,,,,,
IRL,Ireland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2014,,121.234,,A,,,,,,,
GRC,Greece,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2014,,183.0978,,A,,,,,,,
HUN,Hungary,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2014,,100.6166,,A,,,,,,,
OECD,OECD - Total,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2014,,108.03,,A,,,,,,,
EST,Estonia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2015,,12.72626,,A,,,,,,,
CHE,Switzerland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2015,,42.86695,,A,,,,,,,
SWE,Sweden,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2015,,62.43351,,A,,,,,,,
HUN,Hungary,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2015,,98.82563,,A,,,,,,,
GRC,Greece,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2015,,184.2,,A,,,,,,,
USA,United States,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2015,,136.9442,,A,,,,,,,
NOR,Norway,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2015,,39.97702,,A,,,,,,,
PRT,Portugal,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2015,,148.4184,,A,,,,,,,
JPN,Japan,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2015,,233.2803,,A,,,,,,,
SVK,Slovak Republic,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2015,,66.19646,,A,,,,,,,
USA,United States,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2013,,135.8308,,A,,,,,,,
SWE,Sweden,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2013,,57.99191,,A,,,,,,,
SVK,Slovak Republic,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2013,,65.13193,,A,,,,,,,
PRT,Portugal,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2013,,141.066,,A,,,,,,,
NOR,Norway,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2013,,36.23643,,A,,,,,,,
JPN,Japan,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2013,,229.6768,,A,,,,,,,
TUR,Türkiye,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2013,,34.28374,,A,,,,,,,
MEX,Mexico,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2013,,48.17096,,A,,,,,,,
FIN,Finland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2013,,68.84755,,A,,,,,,,
DNK,Denmark,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2013,,56.73219,,A,,,,,,,
AUT,Austria,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2013,,94.3597,,A,,,,,,,
BEL,Belgium,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2013,,118.648,,A,,,,,,,
LTU,Lithuania,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2013,,47.98796,,A,,,,,,,
IRL,Ireland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2013,,132.2571,,A,,,,,,,
OAVG,OECD - Average,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2013,,79.79,,A,,,,,,,
TUR,Türkiye,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2018,,32.27837,,A,,,,,,,
FIN,Finland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2018,,75.24908,,A,,,,,,,
MEX,Mexico,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2018,,47.2254,,A,,,,,,,
AUT,Austria,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2018,,90.86761,,A,,,,,,,
DNK,Denmark,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2018,,47.18268,,A,,,,,,,
BEL,Belgium,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2018,,118.5816,,A,,,,,,,
NZL,New Zealand,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2018,,37.43,,A,,,,,,,
CHE,Switzerland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2018,,40.28236,,A,,,,,,,
SWE,Sweden,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2018,,59.88144,,A,,,,,,,
EST,Estonia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2018,,12.97654,,A,,,,,,,
OAVG,OECD - Average,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2018,,78.03,,A,,,,,,,
DEU,Germany,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2018,,70.14697,,A,,,,,,,
SVN,Slovenia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2018,,83.89508,,A,,,,,,,
GRC,Greece,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2020,,237.4087,,A,,,,,,,
HUN,Hungary,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2020,,97.09126,,A,,,,,,,
OECD,OECD - Total,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2020,,126.76,,A,,,,,,,
GBR,United Kingdom,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2020,,152.7307,,A,,,,,,,
ISR,Israel,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2020,,86.82154,,A,,,,,,,
ESP,Spain,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2020,,147.8902,,A,,,,,,,
POL,Poland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2020,,77.48114,,A,,,,,,,
ITA,Italy,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2020,,183.2949,,A,,,,,,,
NLD,Netherlands,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2020,,70.18882,,A,,,,,,,
TUR,Türkiye,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2020,,42.88387,,A,,,,,,,
BEL,Belgium,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2020,,140.3486,,A,,,,,,,
FIN,Finland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2020,,87.1865,,A,,,,,,,
MEX,Mexico,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2020,,56.96823,,A,,,,,,,
AUT,Austria,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2020,,107.1408,,A,,,,,,,
DNK,Denmark,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2020,,58.43203,,A,,,,,,,
NZL,New Zealand,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2020,,46.87,,A,,,,,,,
ISR,Israel,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2017,,73.90598,,A,,,,,,,
CHL,Chile,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2017,,29.36425,,A,,,,,,,
GBR,United Kingdom,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2017,,120.5772,,A,,,,,,,
ESP,Spain,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2017,,119.0677,,A,,,,,,,
POL,Poland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2017,,68.96077,,A,,,,,,,
NLD,Netherlands,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2017,,70.80943,,A,,,,,,,
ITA,Italy,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2017,,152.0863,,A,,,,,,,
LVA,Latvia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2017,,47.61634,,A,,,,,,,
COL,Colombia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2017,,75.18874,,A,,,,,,,
ISL,Iceland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2017,,104.8503,,A,,,,,,,
CZE,Czechia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2017,,43.32781,,A,,,,,,,
KOR,Korea,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2017,,49.43649,,A,,,,,,,
LUX,Luxembourg,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2017,,28.59976,,A,,,,,,,
FRA,France,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2017,,122.9442,,A,,,,,,,
CAN,Canada,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2017,,111.8384,,A,,,,,,,
AUS,Australia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2017,,66.17329,,A,,,,,,,
NZL,New Zealand,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2017,,39.5,,A,,,,,,,
CHE,Switzerland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2017,,42.45729,,A,,,,,,,
SWE,Sweden,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2017,,60.80294,,A,,,,,,,
EST,Estonia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2017,,13.14404,,A,,,,,,,
LTU,Lithuania,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2019,,44.48434,,A,,,,,,,
CHL,Chile,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2019,,38.72456,,A,,,,,,,
IRL,Ireland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2019,,68.70069,,A,,,,,,,
OAVG,OECD - Average,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2019,,78.59,,A,,,,,,,
SVN,Slovenia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2019,,81.44735,,A,,,,,,,
DEU,Germany,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2019,,68.66587,,A,,,,,,,
OECD,OECD - Total,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2019,,106.76,,A,,,,,,,
ISR,Israel,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2019,,74.57744,,A,,,,,,,
GBR,United Kingdom,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2019,,120.1491,,A,,,,,,,
NLD,Netherlands,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2019,,62.26208,,A,,,,,,,
POL,Poland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2019,,63.60752,,A,,,,,,,
ITA,Italy,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2019,,154.1801,,A,,,,,,,
ESP,Spain,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2019,,120.4401,,A,,,,,,,
LVA,Latvia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2019,,47.63047,,A,,,,,,,
COL,Colombia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,2019,,82.85362,,A,,,,,,,
GRC,Greece,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1995,,97.84429,,A,,,,,,,
LTU,Lithuania,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1995,,13.16117,,A,,,,,,,
USA,United States,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1995,,93.71502,,A,,,,,,,
SWE,Sweden,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1995,,76.79362,,A,,,,,,,
PRT,Portugal,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1995,,76.35425,,A,,,,,,,
JPN,Japan,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1995,,93.14038,,A,,,,,,,
NOR,Norway,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1995,,37.96455,,A,,,,,,,
LUX,Luxembourg,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1995,,22.61868,,A,,,,,,,
DEU,Germany,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1995,,54.38027,,A,,,,,,,
DNK,Denmark,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1995,,81.55622,,A,,,,,,,
CZE,Czechia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1995,,18.05193,,A,,,,,,,
AUT,Austria,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1995,,69.17403,,A,,,,,,,
LTU,Lithuania,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1996,,15.91078,,A,,,,,,,
USA,United States,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1996,,91.18478,,A,,,,,,,
SWE,Sweden,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1996,,79.49146,,A,,,,,,,
PRT,Portugal,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1996,,77.55743,,A,,,,,,,
NOR,Norway,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1996,,33.58703,,A,,,,,,,
JPN,Japan,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1996,,99.18596,,A,,,,,,,
LVA,Latvia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1996,,14.99294,,A,,,,,,,
SVN,Slovenia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1996,,34.55093,,A,,,,,,,
FRA,France,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1996,,73.29137,,A,,,,,,,
FIN,Finland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1996,,63.74421,,A,,,,,,,
BEL,Belgium,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1996,,143.2926,,A,,,,,,,
AUS,Australia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1996,,55.0728,,A,,,,,,,
CAN,Canada,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1996,,131.6665,,A,,,,,,,
LVA,Latvia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1997,,13.69537,,A,,,,,,,
SVN,Slovenia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1997,,33.44769,,A,,,,,,,
AUS,Australia,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1997,,53.5203,,A,,,,,,,
FIN,Finland,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1997,,62.12785,,A,,,,,,,
CAN,Canada,GGDEBT,General government debt,TOT,Total,PC_GDP,% of GDP,A,Annual,1997,,125.3848,,A,,,,,,,
