Name,Status,Last PoC Date,"Shop category (pizzeria RM, pizzeria MTO, fast casual RM, fast casual MTO, bakery, donut shop, cafe, bagels shop, grocer, grab n' go)",# of locations,Ownership,Address,POC,Physically Visited? Y/N,"Last Poc Type (in-person, call, email)",Touchpoint #,Next Visit Date,"Type(A,B,C)",Lead,"Phone (store, cell)",Name of who you talked to,Their position...17,Their email,Decision Maker Name,Their position...20,Decision Maker Email,Notes,...23,...24,...25,...26,lon,lat,address,status_Color
Rye Society,L0,NA,NA,NA,NA,"3090 N Larimer St Denver, CO 80205",Eddy,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jerrod Rosen = owner,NA,NA,NA,NA,-104.9792619,39.7629048,"3090 larimer st, denver, co 80205, usa",black
Lohi Eats,Lost,18-Oct,cafe,NA,NA,"2550 15th St, Denver CO 80211",Eddy,Y,in-person,1,NA,B,3,NA,Mariana,manager,NA,Lila & Jake,owners,NA,no surplus,NA,NA,NA,NA,-105.0115946,39.7580511,"2550 15th st, denver, co 80211, usa",red
Heidi's Brooklyn Deli,L0,NA,NA,4,NA,"1225 17th St Denver, CO 80202",Eddy,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,Suzie,owner,NA,NA,NA,NA,NA,NA,-104.9952031,39.7502764,"17th street plaza, 1225 17th st, denver, co 80202, usa",black
The radiator,L0,24-Oct,Cafe,NA,NA,"2139 W 44th Ave Denver, CO 80211",Eddy,Y,email,2,NA,A,2,NA,Drew?,NA,NA,Steph?,NA,gm@theradiatordenver.com,NA,NA,NA,NA,NA,-105.0132615,39.7767417,"2139 w 44th ave, denver, co 80211, usa",black
Maria Empanada,L1,23-Oct,fast casual RM,3,NA,"1700 Platte St Denver, CO 80202",Eddy,Y,email,2,NA,B,2,NA,Nicole,GM,NA,Lorena,owner,info@mariaempanadas.com,Victor is manager as well,NA,NA,NA,NA,-105.0067129,39.7582877,"1700 platte st, denver, co 80202, usa",orange
Dio Mio,Lost,NA,NA,NA,NA,"3264 Larimer St Denver, CO 80205",Eddy,Y,NA,NA,NA,C,3,NA,Peter,executive chef,NA,NA,NA,NA,no waste / scratch kitchen / redeemer pizza is sister location,NA,NA,NA,NA,-104.9768086,39.7647832,"3264 larimer st, denver, co 80205, usa",red
Empanada Express,L1,NA,NA,NA,NA,"4301 W 44th Ave Denver, CO 80212",Jack,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-105.0430703,39.7768079,"4301 w 44th ave, denver, co 80212, usa",orange
Curtis park creamery,L0,NA,NA,NA,NA,"908 30th St Denver, CO 80205",Eddy,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.9774704,39.7597163,"908 30th st, denver, co 80205, usa",black
Fat Sullys,L1,NA,Pizza RM,2,NA,"3237 E Colfax Ave Denver, CO 80206",Jack,N,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pizza by the slice - revisit,NA,NA,NA,NA,-104.9490503,39.7403976,"3237 e colfax ave, denver, co 80206, usa",orange
Gold Point,L1,NA,NA,NA,NA,"3126 Larimer St Denver, CO 80205",Jack,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.9785772,39.7634582,"3126 larimer st, denver, co 80205, usa",orange
La Cochinita,L0,NA,fast casual RM ?,NA,NA,"4935 W 29th Ave Denver, CO 80212",Eddy,N,NA,0,NA,B,NA,303-458-0932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-105.0503356,39.7588071,"4935 w 29th ave, denver, co 80212, usa",black
City Donuts,L0,NA,NA,2,NA,"4918 E Colfax Ave Denver, CO 80220",Eddy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.9299192,39.7399321,"4918 e colfax ave, denver, co 80220, usa",black
Coffee High Company,L1,NA,NA,NA,NA,"2240 Blake St, Denver, CO 80205, United States",Jack,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.9908667,39.7565559,"2240 blake st, denver, co 80205, usa",orange
Milk and Honey,stalled,NA,Cafe,NA,NA,"2401 Blake St Denver, CO 80205, United States",Jack,Y,In person,1,NA,B,3,NA,James,NA,NA,NA,NA,admin@milknhoneycoffeeco.com,Just transitioned to baking in house/decreasing food surplus,NA,NA,NA,NA,-104.9894974,39.7584684,"2401 blake st, denver, co 80205, usa",brown
Dochi Denver,L1,22-Oct,Bakery,NA,NA,"2449 Larimer St, Denver, CO 80205, United States",Jack,Y,In person,1,NA,A,NA,NA,Andrew,Brother of owner. Inventory manager,NA,Johnny,NA,co@dochicompany.com,"They have surplus donuts/currently donates them to cops, shelter",NA,NA,NA,NA,-104.9870554,39.757471,"2449 larimer st, denver, co 80205, usa",orange
Intermission cafe,NA,23-Oct,Cafe + MTO,1,NA,"1800 Larimer St Suite 101, Denver, CO 80202",Jay,Y,in person,1,NA,A,NA,(303) 862-5098,Ana,Cashier / employee,NA,Jim Roo,Partner/Owner,jim@roomanagement.com,They have surplus bakery goods + massive surplus after catering we need to explore,NA,NA,NA,NA,-104.9942901,39.75118399999999,"1800 larimer st suite 101, denver, co 80202, usa",NA
Mercantile Dining & Provision,NA,23-Oct,Cafe + MTO,1,NA,"1701 Wynkoop St #155, Denver, CO 80202",Jay,Y,in person,1,NA,A,NA,(720) 460-3733,Beth,Cashier / employee,NA,Dan,Ops Manager,NA,Need to come by around 3 during shift change to get an audience with Dan,NA,NA,NA,NA,-104.999707,39.7536124,"1701 wynkoop st #155, denver, co 80202, usa",NA
Pigtrain Coffee Co,NA,23-Oct,Cafe + MTO,NA,NA,"1701 Wynkoop St, Denver, CO 80202",Jay,Y,in person,1,NA,A,3,(720) 460-3708,Kim,Cashier / employee,NA,NA,NA,NA,No Surplus,NA,NA,NA,NA,-104.9999636,39.7530868,"1701 wynkoop st, denver, co 80202, usa",NA
Waffles & Dinges,NA,23-Oct,Bakery,NA,NA,"1701 Wynkoop St, Denver, CO 80202",Jay,Y,in person,1,NA,A,NA,(720) 460-3710,Stone,Cashier / employee,NA,Thomas Deegest,Owner,NA,Has some surplus -- multiple locations in NYC,NA,NA,NA,NA,-104.9999636,39.7530868,"1701 wynkoop st, denver, co 80202, usa",NA
Fish n Chips,Lost,23-Oct,Fast casual MTO,NA,NA,"1311 S Broadway, Denver, CO 80210",Eddy,Y,in person,1,NA,B,NA,NA,Lenny,manager,NA,Alex,owner,info@,no surplus,NA,NA,NA,NA,-104.9877454,39.6926348,"1311 s broadway, denver, co 80210, usa",red
Azucar Bakery,L1,NA,NA,NA,NA,"1886 S Broadway, Denver, CO 80210-3104",Jack,N,NA,0,NA,NA,NA,(720) 283-3294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.9871923,39.6824115,"1886 s broadway, denver, co 80210, usa",orange
The Rolling Pin Bakeshop,L1,NA,NA,NA,NA,"2716 Welton St, Denver, CO 80205",Jack,N,NA,0,NA,NA,NA,720 708 3026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.9774704,39.7549133,"2716 welton st, denver, co 80205, usa",orange
Sugar Bakeshop,L1,NA,NA,NA,NA,"277 Broadway, Denver, CO 80203",Jack,N,NA,0,NA,NA,NA,(720) 458-5432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.9878584,39.7206609,"277 broadway, denver, co 80203, usa",orange
Katherine's French Bakery & Cafe,L1,NA,NA,NA,NA,"728 S University Blvd, Denver, CO 80209",Jack,N,NA,0,NA,NA,NA,(303) 282-5888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.959051,39.7030235,"728 s university blvd, denver, co 80209, usa",orange
mpeau Bakery,L1,NA,NA,NA,NA,"2950 S Broadway, Englewood, CO 80113",Jack,N,NA,0,NA,NA,NA,(303) 777-7222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.9870326,39.663372,"2950 s broadway, englewood, co 80113, usa",orange
City Cafe,L1,NA,NA,NA,NA,"726 Lincoln St, Denver, CO 80203",Jack,N,NA,0,NA,NA,NA,(303) 861-0809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.985823,39.7278245,"726 lincoln st, denver, co 80203, usa",orange
Raleigh Street Bakery Bread,L1,NA,NA,NA,NA,"5245 Raleigh St, Denver, CO 80212",Jack,N,NA,0,NA,NA,NA,(303) 709-1020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-105.0418832,39.79211970000001,"5245 raleigh st, denver, co 80212, usa",orange
French for Sugar,L1,NA,NA,NA,NA,"1201 E Colfax Ave, Denver, CO 80218, United States",Jack,N,NA,0,NA,NA,NA,303 522 6886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.9718795,39.7402329,"1201 e colfax ave, denver, co 80218, usa",orange
D Bar Denver,L1,NA,NA,NA,NA,"494 E 19th Ave, Denver, CO 80203",Jack,N,NA,0,NA,NA,NA,303 861-4710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.9813918,39.7459189,"494 e 19th ave, denver, co 80203, usa",orange
The Bindery,L1,NA,NA,NA,NA,"1817 Central St, Denver, CO 80211",Jack,N,NA,0,NA,NA,NA,(303) 993-2364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-105.0065086,39.7607023,"1817 central st, denver, co 80211, usa",orange
Maxs Market,L1,19-Oct,Bakery,1,NA,"2080 Lawrence St, Denver, CO 80205",Jack,Y,in-person,1,NA,NA,2,NA,NA,NA,no email,NA,NA,no email,manager in 7-9 am/likes local companies,NA,NA,NA,NA,-104.9906978,39.7528746,"2080 lawrence st, denver, co 80205, usa",orange
Cosmos,L1,NA,Pizza RM,NA,NA,"550 N Grant St, Denver, CO 80203-4420",Jack,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.9830888,39.7249675,"550 n grant st, denver, co 80203, usa",orange
pastry runner,NA,NA,NA,NA,NA,1139 20th St Denver CO 80205,Eddy,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Single freelance woman who sells out of a brewery,NA,NA,NA,NA,-104.9913841,39.75226,"1139 20th st, denver, co 80202, usa",NA
The Flour Shop,L1,25-Oct,Bakery,1,NA,"2400 Curtis St. Denver, CO 80205",Jack,Y,In person,1,NA,A,2,NA,Catery owner,NA,NA,Jenny,Bakery owner,NA,Jenny owns the bakery/left a note for her,NA,NA,NA,NA,-104.9846748,39.7546206,"2400 curtis street, denver, co 80205, usa",orange
Nest Coffee,stalled,25-Oct,Cafe,1,NA,"2949 Federal Blvd Denver, CO 80211",Jack,Y,email,2,NA,B,2,NA,Molly,Employee,NA,Ashley & Kelly,Owners,ashley@nurture.me / kelly@nurture.me,expanding menu soon and might be interested,NA,NA,NA,NA,-105.025926,39.7594927,"2949 federal blvd, denver, co 80211, usa",brown
Mead St. Provisions,L1,25-Oct,Fast Casual MTO,NA,NA,3625 West 32nd Avenue,Jack,Y,email,2,NA,B,2,NA,Paul,owner,paulkburke1@gmail.com,NA,NA,NA,checking w chef to determine food waste/liked the idea,NA,NA,NA,NA,-105.0352627,39.7623338,"3625 w 32nd ave, denver, co 80211, usa",orange
Pizza Alley,lost,25-Oct,Pizza RM,NA,NA,"3499 W 32nd Ave, Denver, CO 80211-3103",Jack,Y,in person,1,NA,no,2,NA,Kyle,co-owner,na,NA,NA,NA,no food waste/it would only be bread sticks,NA,NA,NA,NA,-105.034418,39.7624651,"parking lot, 3499 w 32nd ave, denver, co 80211, usa",red
Happy Bakeshop,L1,25-Oct,Bakery,NA,NA,"3621 W 32nd Ave, Highlands Square, Denver, CO 80211",Jack,Y,Email,2,NA,A,2,NA,Cassidy,Manager,Manager@happybakeshopdenver.com,NA,NA,NA,"Emailed Cassidy, waiting on reply",NA,NA,NA,NA,-105.0351257,39.7623126,"3621 w 32nd ave, denver, co 80211, usa",orange
Winchels Donuts,L1,25-Oct,Bakery,NA,NA,4965 N. Federal St. Denver,Jack,Y,In person,1,NA,A,2,NA,Yaseem,Employee,NA,Baseem,Manager,3034775926,Said to call Baseem (manager),NA,NA,NA,NA,-105.0254972,39.7867628,"4965 n federal blvd, denver, co 80221, usa",orange
Reds Tops Rendevous,L1,25-Oct,Pizza RM,NA,NA,"2917 W 25th Ave, Denver, CO 80211",Jack,Y,In person,1,NA,B,2,NA,David,Manager,NA,NA,NA,NA,David said CCG (creative culinary group) owns them. Like a Big Red F. Also own Bardo and more. Need to talk to them.,NA,NA,NA,NA,-105.0241569,39.7538314,"2917 w 25th ave, denver, co 80211, usa",orange
Deiter's Chocolates,L1,31-Oct,Chocolates,NA,NA,"1734 E Evans Ave, Denver, CO 80210",Jack,Y,email,2,NA,B,2,NA,Liza,Manager,liza@deiterschocolates.com,NA,NA,NA,NA,NA,NA,NA,NA,-104.9669377,39.6783214,"1734 e evans ave, denver, co 80210, usa",orange
Jerusalem Restaurant,L1,31-Oct,fast casual RM,NA,NA,1890 E Evans Ave Denver CO 80210,Jack,Y,email,2,NA,A,1,NA,NA,NA,saidwahelah@gmail.com,NA,NA,NA,NA,NA,NA,NA,NA,-104.9654328,39.6782546,"1890 e evans ave, denver, co 80210, usa",orange
Stoners Pizza Joint,L0,NA,NA,2,NA,"4565 E Colfax Ave, Denver, CO 80220",Eddy,N,Call,NA,NA,NA,NA,NA,Jacob,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-104.934619,39.74034,"4565 e colfax ave, denver, co 80220, usa",black
Pete's University Cafe,L2,31-Oct,fast casual RM,NA,NA,"2345 E Evans Ave, Denver, CO 80210",Eddy,Y,email,2,NA,B,2,NA,NA,NA,NA,Dean Phillips,Family Owner,phillips36@comcast.net,"Son is Andrew Phillips who I went to school with, Pete has since passed away, still a family owned businesses",NA,NA,NA,NA,-104.9596597,39.6786418,"2345 e evans ave, denver, co 80210, usa",pink
Zorbas,L1,30-Oct,bakery + cafe,NA,NA,"2626 E 12th Ave, Denver, CO 80206",Eddy,Y,in-person,1,NA,A,2,NA,Justin,employee,NA,"Karen, Kevin, or Jenny",NA,NA,Karen is owner? / they run specials that don't sell out and have baked items,NA,NA,NA,NA,-104.9555413,39.7349755,"2626 e 12th ave, denver, co 80206, usa",orange
Saucy Southern's,L1,30-Oct,fast casual RM,NA,NA,"2100 S University Blvd, Denver, CO 80210",Eddy,Y,in-person,1,NA,A,2,NA,Darian,NA,NA,Kierre & Khristian,Owners,NA,NA,NA,NA,NA,NA,-104.9591013,39.67818339999999,"2100 s university blvd, denver, co 80210, usa",orange
Kokoro Restaurant,Lost,30-Oct,NA,NA,NA,"390 S Colorado Blvd, Denver, CO 80222",Eddy,Y,in-perosn,1,NA,NA,NA,NA,Lenny,GM,NA,Masaru (mas),Owner,mastorito@gmail.com,TGTG partner /automatic 3 bags a day / leftover sushi and soup,NA,NA,NA,NA,-104.9404509,39.7096898,"390 s colorado blvd, glendale, co 80246, usa",red
Kaladi Coffee Roasters,L1,31-Oct,cafe,NA,NA,"1730 E Evans Ave, Denver, CO 80210",Eddy,Y,email,2,NA,A,2,NA,Noah,employee,noahgalusha@gmail.com,NA,NA,NA,Owners at Englewood location any day around 10am,NA,NA,NA,NA,-104.9670729,39.6783303,"1730 e evans ave, denver, co 80210, usa",orange
Breakfast on Broadway,L1,NA,NA,NA,NA,"2901 S Broadway, Englewood, CO 80113",Eddy,NA,NA,NA,NA,NA,NA,NA,Maggie,NA,NA,Val and Karolyn,owners,NA,call Thurs & Fri at 1pm,NA,NA,NA,NA,-104.9881337,39.6637835,"2901 s broadway, englewood, co 80113, usa",orange
Junction Food Hall,L1,31-Oct,food hall,NA,NA,"2000 South Colorado Blvd Denver, Colorado 80222",Eddy,Y,email,2,NA,B,2,303-807-6866 (C),NA,NA,NA,Pete Koury,GM,pete@junctionfooddrink.com,"has catering surplus, also owns three brands in the food hall",NA,NA,NA,NA,-104.9380216,39.6808677,"2000 s colorado blvd, denver, co 80222, usa",orange
Istanbul Cafe & Bakery,L1,30-Oct,bakery,3,NA,"850 S Monaco Pkwy, Unit 9, Denver, CO 80224",Eddy,Y,in-person,1,NA,A,2,NA,Pejman,University Hill manager,NA,Soner,owners,NA,call to reach owner - currently focusing on opening third location in downtown,NA,NA,NA,NA,-104.9116233,39.7015806,"850 s monaco st pkwy #9, denver, co 80224, usa",orange
Pizza and Grill,L1,31-Oct,pizza RM,NA,NA,"990 Lincoln St, Denver, CO 80203",Jack,N,phone,1,NA,A,3,NA,NA,NA,NA,NA,NA,NA,owner is in 8-10 AM,NA,NA,NA,NA,-104.9858238,39.7318668,"990 lincoln st, denver, co 80203, usa",orange
Brothers BBQ,L1,31-Oct,fast casual MTO,NA,NA,"568 N Washington St, Denver, CO 8020",Jack,Y,email,2,NA,B,2,NA,Bella,Manager,na,Aaron,assistant operations manager,aaron@brothers-bbq.com,Aaron wasnt in,NA,NA,NA,NA,-104.9782835,39.7252948,"568 n washington st, denver, co 80203, usa",orange
Punch Bowl Social,L1,31-Oct,fast casual MTO,NA,NA,"65 Broadway, Denver, CO 80203",Jack,Y,email,2,NA,B,2,NA,Adam,Manager,ahendricks@punchbowldenver.com,Ashliegh,chef,agriffin@punchbowldenver.com,NA,NA,NA,NA,NA,-104.9879806,39.71792860000001,"65 broadway, denver, co 80203, usa",orange
Rivers and Roads Coffee,Stalled,23-Oct,cafe,2,NA,"2539 E Bruce Randolph Ave Denver, CO 80205",Eddy,Y,email,3,NA,A,2,NA,Eric,employee,NA,Michael & Desiree,Owners,info@riversandroadscoffee.com,"Michael & Desiree Keen are local owners! 2 locations, homemade baked items, gluten-free, has a food truck as of recent, talked to eric the employee and verified surplus need / Mike's in on thursday from 7am - 1pm / Mike said only have 4 muffins leftover a day, and labor is his biggest cost, not interested rn",NA,NA,NA,NA,-104.9563855,39.7647316,"2539 bruce randolph ave, denver, co 80205, usa",brown
Maggie and Molly's Bakery,Stalled,23-Oct,Bakery,1,NA,"2908 E 6th Ave Denver, CO 80206",Eddy,Y,email,3,NA,A,1,720-328-4073 (S),Abby,Manager,NA,Mary,Owner,info@maggieandmollys.com,mary is overwhelmed in the holiday season and can't do anything new right now - circle back in January,NA,NA,NA,NA,-104.95302,39.7254494,"2908 e 6th ave, denver, co 80206, usa",brown
Queen City Roasting,Lost,23-Oct,Cafe,3,NA,"2962 Welton St Denver, CO 80205",Eddy,Y,email,3,NA,A,2,NA,Rebecca,employee,NA,Cassie,Retail Manager,cassie@queencityroasting.com,"spoke to rebecca, Cassie replied to second email saying they don't have a use case currently. Bri responded making one more case for the exposure to the community and also posting coffee beans.",NA,NA,NA,NA,-104.9744025,39.7573538,"2962 welton st, denver, co 80205, usa",red
Lil Coffe and Tea,Lost,18-Oct,Cafe,NA,NA,"300 E 6th Ave 5 Denver, CO 80203",Luke,Y,Instagram DM,2,NA,A,NA,NA,Jake,NA,NA,Vivian Lin,General Manager,Vivian@lilcoffeashop.com,"Talked to Jake (employee) said to DM them on insta. They waste sandwiches and pastries
GM Vivian responded and said they don't have a use case.",NA,NA,NA,NA,-104.9832931,39.7253182,"300 e 6th ave #5, denver, co 80203, usa",red
Scratch Bakery & Kitchen,Lost,19-Oct,Bakery,1,NA,"2748 Welton St Denver, CO 80205",Eddy,Y,call,3,NA,A,1,(303) 927-6681,NA,NA,NA,Michelle,Owner,80205mrs@gmail.com,locally owned & operated (Dan & Michelle Sawyer = owners) - could use some marketing support + has surplus / said she doesn't have surplus,NA,NA,NA,Revisit Thursday,-104.9769227,39.7553791,"2748 welton st, denver, co 80205, usa",red
Kochi Cafe,Lost,23-Oct,Cafe,1,NA,"4100 E 8th Ave Denver, CO 80220",Eddy,Y,email,3,NA,A,1,NA,Alexandria (Lexi),owner's daughter,Alexandriaheese@kochicafe.com / kathrynkeehne@kochicafe.com,Kathryn Keehne,GM,kathrynkeehne@kochicafe.com,lexi was interested and has surplus but concerned about college students being our target audience - ultimately will default to Kathryn's decision / spoke to Melissa the employee as well,NA,NA,NA,NA,-104.9392572,39.7291466,"4100 e 8th ave, denver, co 80220, usa",red
The PZA,Lost,NA,NA,NA,NA,"1501 E Colfax Ave, Denver, CO 80218",Eddy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jake,NA,NA,NA,NA,NA,NA,NA,-104.9694149,39.7402418,"1501 e colfax ave, denver, co 80218, usa",red
Cakes by Karen,Lost,30-Oct,bakery,NA,NA,"9797 W Colfax Ave, Ste 2F, Lakewood, CO 80215",Eddy,Y,in-person,1,NA,A,2,303-452-6801 (S),Sarah,employee,NA,Karen,Owner,NA,Karen is super nice but says has no leftovers and will donate when she does,NA,NA,NA,NA,-105.1077906,39.7410298,"9797 w colfax ave #2f, lakewood, co 80215, usa",red
